"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"03.01.2016 22:30 - 03.01.2016 22:45","44887","51864"
"03.01.2016 22:45 - 03.01.2016 23:00","44115","51159"
"03.01.2016 23:00 - 03.01.2016 23:15","43573","50444"
"03.01.2016 23:15 - 03.01.2016 23:30","43124","49961"
"03.01.2016 23:30 - 03.01.2016 23:45","42143","49081"
"03.01.2016 23:45 - 04.01.2016 00:00","41478","47994"
"04.01.2016 00:00 - 04.01.2016 00:15","39862","47710"
"04.01.2016 00:15 - 04.01.2016 00:30","39990","46763"
"04.01.2016 00:30 - 04.01.2016 00:45","39559","46181"
"04.01.2016 00:45 - 04.01.2016 01:00","39140","45720"
"04.01.2016 01:00 - 04.01.2016 01:15","38838","45164"
"04.01.2016 01:15 - 04.01.2016 01:30","38545","44904"
"04.01.2016 01:30 - 04.01.2016 01:45","38253","44620"
"04.01.2016 01:45 - 04.01.2016 02:00","38027","44225"
"04.01.2016 02:00 - 04.01.2016 02:15","37873","43860"
"04.01.2016 02:15 - 04.01.2016 02:30","37611","43663"
"04.01.2016 02:30 - 04.01.2016 02:45","37501","43538"
"04.01.2016 02:45 - 04.01.2016 03:00","37406","43551"
"04.01.2016 03:00 - 04.01.2016 03:15","37663","43443"
"04.01.2016 03:15 - 04.01.2016 03:30","37378","43571"
"04.01.2016 03:30 - 04.01.2016 03:45","37572","43608"
"04.01.2016 03:45 - 04.01.2016 04:00","37399","43851"
"04.01.2016 04:00 - 04.01.2016 04:15","37596","44472"
"04.01.2016 04:15 - 04.01.2016 04:30","38339","44930"
"04.01.2016 04:30 - 04.01.2016 04:45","38200","45332"
"04.01.2016 04:45 - 04.01.2016 05:00","38604","45846"
"04.01.2016 05:00 - 04.01.2016 05:15","39574","46957"
"04.01.2016 05:15 - 04.01.2016 05:30","39424","47578"
"04.01.2016 05:30 - 04.01.2016 05:45","40160","48681"
"04.01.2016 05:45 - 04.01.2016 06:00","41004","49775"
"04.01.2016 06:00 - 04.01.2016 06:15","42531","51893"
"04.01.2016 06:15 - 04.01.2016 06:30","43391","53821"
"04.01.2016 06:30 - 04.01.2016 06:45","44734","55301"
"04.01.2016 06:45 - 04.01.2016 07:00","46476","56222"
